# id,x,y,z,varphi1 [rad],phi [rad],varphi2 [rad],volume [um^3]
2.366000000000000000e+03,-6.954046444499104140e+00,-1.730943078358516019e+01,2.981010495641166358e+01,7.136379378999999634e-01,1.018669999999999964e+00,2.369967772999999944e+00,5.366825432842857424e+01
2.369000000000000000e+03,1.053451964035286004e+01,-2.950545691714904217e-01,3.101126501959326731e+01,6.176082340999999865e-01,7.383399999999999963e-01,2.818602411000000085e+00,3.617855871580365346e+01
2.387000000000000000e+03,-6.940874340169531642e+00,1.913435761103118438e+01,2.687323194627930079e+01,2.470720691999999996e+00,5.764219999999999899e-01,1.187418992000000006e+00,6.427134191640507765e+01
2.411000000000000000e+03,-5.301795183290495039e+00,1.243410330990895574e+01,2.699221602126182873e+01,1.439890544999999911e+00,6.473510000000000097e-01,1.153594286999999996e+00,1.019063339613969958e+02
2.416000000000000000e+03,1.768095233896479357e+01,2.150111826888356603e+01,2.829659200101312067e+01,2.263013980000000203e+00,7.011220000000000230e-01,1.002783938999999958e+00,2.328926847191171703e+02
2.417000000000000000e+03,9.072871599190355241e+00,1.240941506266378269e+01,2.525958192019431436e+01,2.401523636999999933e+00,6.590110000000000134e-01,1.040378779000000087e+00,1.383866301811704957e+01
2.435000000000000000e+03,1.333010952960952444e+01,1.879941059009242466e+01,2.584643492538987886e+01,-2.082730962999999935e+00,9.264400000000000412e-01,-8.176653052000000255e-01,1.602523632776295983e+02
2.445000000000000000e+03,1.962864448795324890e+01,-2.154336251641234057e+01,2.782857474624304572e+01,-1.792994933999999985e+00,7.075599999999999667e-01,-1.846242238000000091e+00,5.307555598668616881e+01
2.446000000000000000e+03,-4.152810579459557339e+00,-1.083383259460019055e+01,2.543618663911564681e+01,-6.348705815999999835e-01,8.114869999999999584e-01,-2.354246224000000165e+00,4.588802051935434889e+01
2.447000000000000000e+03,8.914481750880851152e+00,1.117096456935415993e+01,2.785533100502964388e+01,1.680206993000000093e+00,5.073760000000000492e-01,1.294809419999999989e+00,1.360825595990530879e+01
2.469000000000000000e+03,1.530325958148609367e+01,1.918576831160003104e+00,2.685328375201769546e+01,-1.325783241999999973e+00,7.937309999999999643e-01,-2.050144560000000116e+00,2.510767572568238393e+01
2.476000000000000000e+03,1.834025579025380637e+01,-1.860931577771983214e+01,2.509175254682062572e+01,-1.035552851999999913e+00,7.779909999999999881e-01,-2.239559995000000026e+00,6.248896499023001638e+01
2.480000000000000000e+03,1.042258918264938394e+01,7.587146460575493023e+00,2.730935645907315390e+01,-2.318667264000000117e+00,8.004670000000000396e-01,-1.132326697000000104e+00,4.592777253886296762e+01
2.493000000000000000e+03,-2.216491337534704620e+00,-4.968613819924542874e+00,2.648015265647537575e+01,-1.272159849999999981e+00,7.078839999999999577e-01,-2.120876808999999863e+00,1.917353794041263981e+01
2.515000000000000000e+03,8.663734132306407432e+00,1.137365063855039082e+01,3.059947133826744192e+01,-2.016747586000000148e+00,7.561010000000000231e-01,-1.205474249000000109e+00,1.233732489185383940e+01
2.538000000000000000e+03,1.348358843784924765e+01,1.876592096546882260e+01,3.168490855654620120e+01,1.920574824000000014e+00,7.988979999999999970e-01,7.764659602000000271e-01,6.773181833288130349e+01
2.569000000000000000e+03,-3.070423761387432116e+00,-6.876162885089716958e+00,3.075611083379891753e+01,1.020114119000000041e+00,9.488689999999999625e-01,2.591068422000000204e+00,6.661361404103272044e+00
2.571000000000000000e+03,-6.344689187575303091e-02,-1.879905642632276397e+01,2.790854307261203715e+01,3.093980802999999891e-01,8.787669999999999648e-01,2.265516116000000135e+00,1.496215480578764812e+01
2.572000000000000000e+03,1.938379195887343798e+01,-3.650674691802556104e+00,3.004150530924574625e+01,5.725731711999999529e-01,7.580189999999999984e-01,2.393196795000000154e+00,1.901656106962549941e+01
2.574000000000000000e+03,-4.344451401228376142e+00,-9.761282554922152244e+00,3.132443427678136771e+01,1.666666860999999888e-01,6.441270000000000051e-01,2.390731993000000166e+00,2.329854418121133364e+01
2.577000000000000000e+03,-6.126174708314251482e+00,7.228782507771756904e+00,2.927952158169748031e+01,2.371099983000000133e+00,7.455540000000000500e-01,8.556191719000000306e-01,1.189776308623223677e+01
